init_id,beta_Kinoko_init,beta_Kinoko
1,5.0,32.52288496899848
2,6.551724137931035,32.53808028040415
3,8.10344827586207,32.572589783862455
4,9.655172413793103,35.38093991293493
5,11.206896551724139,35.38387597980916
6,12.758620689655173,32.56174820972489
7,14.310344827586206,32.5760322783196
8,15.862068965517242,35.381690922428604
9,17.413793103448278,35.38074138887658
10,18.96551724137931,35.38266582259448
11,20.517241379310345,35.38085799113022
12,22.06896551724138,35.37075590618963
13,23.620689655172413,35.38057889942313
14,25.17241379310345,35.37923786039017
15,26.724137931034484,35.37812552720993
16,28.275862068965516,35.380122047785505
17,29.82758620689655,35.38018245788476
18,31.379310344827587,32.565992925433015
19,32.93103448275862,32.571538103230054
20,34.48275862068965,35.38018584739565
21,36.03448275862069,35.38641265455116
22,37.58620689655172,32.54267129182056
23,39.13793103448276,35.3804068802452
24,40.689655172413794,32.57902491304125
25,42.241379310344826,35.3801822328183
26,43.793103448275865,32.57017304787077
27,45.3448275862069,35.3812143607412
28,46.89655172413793,32.583306043147104
29,48.44827586206897,35.38096429307863
30,50.0,32.573132796886
