init_id,beta_price_init,beta_Kinoko_init,beta_Takenoko_init,sigma_price_init,sigma_Kinoko_init,sigma_Takenoko_init,beta_Kinoko,final_log_likelihood
1,0.4632957203362469,23.232979203761474,30.863201869723643,0.2581358859623725,2.8254204120769515,2.852739679436926,35.380429341730384,-728.000505085716
2,1.0615281843648152,8.889370744593789,38.41138718089532,0.4119799595730268,3.563678749435556,2.055528779860624,32.57422223331792,-755.272094021434
3,1.1372491521208108,6.39271113368543,41.1322985957136,0.30500382637837514,0.21521989566870267,1.6686730657367796,35.380235596113145,-728.000505280245
4,0.5160999092128021,12.922039751399618,33.91703811558844,0.22522803740550124,3.5818661245637284,1.863471045187764,32.5743820059445,-755.2720939834551
5,0.15959873245620232,37.20649569020647,37.98703844606256,0.05025095316252157,2.332657496696503,2.28147815007394,35.38033089388746,-728.0005050853171
6,1.1063635786829127,31.898328676773644,18.83490406157185,0.44151003292462493,1.6250369595947216,3.634593474979438,35.380199275499194,-728.0005050879785
7,0.3074873277634919,14.680328222912886,11.558032714949032,0.4122059002383362,0.9666249861372143,1.3317849839427172,35.3803162745816,-728.0005050859281
8,0.32286538793478836,41.12874354949262,27.589042054995954,0.11208843786871221,4.529085620216668,4.077885724781449,35.38042305160853,-728.0005050856805
9,0.4416778857984821,19.971664766277932,9.60657304656532,0.057083933679717154,3.593995754303598,4.138295036216904,35.37899462490673,-728.0005052694424
10,0.8561467899601598,16.30995262340667,43.23355019571592,0.12919211954760362,1.2871961974434194,3.3137827465699936,32.56188416270539,-755.2721109242783
11,0.37099574116639067,40.527788371338296,19.62863827188208,0.4265261914809549,4.267760164829313,2.9542269595524995,35.38091203904052,-728.0005051075753
12,1.0640693293956156,33.96233619212617,20.416681248399605,0.14846444824183597,3.9057817051095047,0.7171369702680558,32.57919721049456,-755.2721670385246
13,0.9036187755695023,29.658216005497177,6.645304761387162,0.11408362876783157,2.4895830966300316,1.164494325861263,32.567323444809325,-755.2721018736012
14,0.8537183979518196,38.07141808662536,48.7574824105357,0.448029960355,3.1184346156268923,3.320308546871428,35.380364615851406,-728.0005050855129
15,0.8808408842648323,10.108352161919505,8.781130080618416,0.4448560446617123,4.157172645426484,2.2412965441723705,32.57430315539805,-755.2720939836585
16,0.3486784803693115,9.02043914878959,39.38256539028294,0.1627514065341095,3.0719476843492926,2.018643918746048,32.56869733730174,-755.2721029491727
17,0.583634658797789,24.30135657959846,18.268883302817674,0.31110906181455983,2.628371683270006,0.7274114494312339,35.38032257230517,-728.0005050860673
18,0.9275441662420194,41.863985236026835,29.089908899608254,0.35563760541389844,3.447316204827599,3.008005089239413,35.380233530590374,-728.000505086487
19,0.4121298330962045,22.837569518983642,20.81899023456829,0.1914503112987151,2.163947557354163,1.6688632987520053,35.380123810648676,-728.0005050884278
20,0.1821128272884466,17.503230154327888,34.60653254370961,0.19132322486759365,3.7786024607317876,4.4383710843852,32.57380399861238,-755.2720940201534
21,0.5184109211921396,23.259042556520036,15.58915172174995,0.0696808834685738,2.7268994299148663,4.332624732531685,35.375994566459084,-728.0005064835474
22,0.9588922030293048,24.071977938174438,26.286633170928333,0.23377653163733134,2.7212923833827745,0.1254557632887103,35.38231007826576,-728.0005053430273
23,0.7370889240677035,15.650834461856645,12.06531869708468,0.05098773317777666,4.913174465398823,4.296762030217726,32.49362894494107,-755.2727173283564
24,0.7943256069629113,6.128823369912052,21.93191083764176,0.3242390726808571,0.5862182654518764,3.001945665038666,32.57439765578517,-755.2720939822096
25,0.34180969000206934,47.162447831881565,20.03734566936549,0.06938567983146293,0.166902069793805,0.9031253166895533,35.37985291124029,-728.0005054697083
26,0.8785587373583102,11.97665716091231,24.26443512757573,0.17623548028598165,4.632129463709633,4.495255099379012,32.55009885196875,-755.2721481215444
27,0.5175457205379772,20.99661741338426,28.866865039629264,0.46134853181233065,4.424398784505056,0.7628106027724783,35.38036851057488,-728.0005050854801
28,1.025429105719015,39.50141241872357,33.301724546449094,0.3591093079179072,2.5392787510110386,3.3923031748838293,35.38034499621348,-728.0005050855183
29,0.7454133912198323,32.123849435674344,38.42406062829323,0.329423058414662,1.038531347215155,2.091724297839545,35.38035576294725,-728.000505085392
30,0.9544399732772798,19.71224990550759,22.10000647710181,0.20110249059887886,0.30935026610646577,2.3513588049340504,35.378807244437965,-728.0005054529954
